repo_name,num
datasharing,68501
ProgrammingAssignment2,38478
Spoon-Knife,32170
ExData_Plotting1,16703
bootstrap,14712
2048,13790
angular.js,10074
dotfiles,9916
RepData_PeerAssessment1,9812
courses,7421
popcorn-app,6296
docs,5884
android,5249
free-programming-books,5180
linux,4819
d3,4804
homebrew,4712
gitignore,4706
rails,3952
laravel,3801
jekyll-now,3613
android_frameworks_base,3548
coursera-android,3488
jquery,3468
node,3434
docker,3311
todomvc,3261
spark,3156
dojo_rules,3126
Specs,3082
angular-seed,2989
git,2984
devart-template,2982
android-open-project,2893
oh-my-zsh,2890
reveal.js,2839
django,2800
FlappyBird-SpriteBuilder,2791
Ghost,2791
opencv,2781
goagent,2692
html5-boilerplate,2683
frontend-nanodegree-resume,2682
phaser,2667
datasciencecoursera,2654
the-swift-programming-language-in-chinese,2585
cgm-remote-monitor,2571
android_packages_apps_Settings,2570
framework,2544
Projects,2516
blog,2508
animate.css,2506
cocos2d-x,2492
POSA-14,2454
spring-framework,2416
Chart.js,2415
three.js,2411
atom,2407
startbootstrap,2403
core,2403
recipes,2355
yii2,2335
ansible,2305
Font-Awesome,2271
The-Art-Of-Programming-By-July,2266
redis,2266
brackets,2257
mean,2236
libgdx,2226
FlappySwift,2221
AFNetworking,2209
CodeIgniter,2196
zxing,2152
express,2145
javascript,2145
elasticsearch,2140
jekyll,2119
flask,2117
Arduino,2084
game-of-life,2073
website,2053
patchwork,2042
android_build,2038
test,2020
discourse,1962
Android-Universal-Image-Loader,1949
iosched,1920
jQuery-File-Upload,1909
SlidingMenu,1891
scikit-learn,1880
angular-phonecat,1880
foundation,1867
leetcode,1856
bitcoin,1855
codecombat,1781
react,1771
homebrew-cask,1760
ionic,1742
odoo,1735
symfony,1734
