repo_name,num
bootstrap,19870
Spoon-Knife,18251
node-js-sample,11114
dotfiles,10350
angular.js,5493
android,4886
jquery,4594
homebrew,4408
rails,4359
phonegap-start,4357
html5-boilerplate,4189
linux,4080
android_frameworks_base,3664
gitignore,3630
node,3513
phonegap-plugins,3419
reveal.js,3223
d3,3090
todomvc,3076
foundation,2994
Specs,2965
oh-my-zsh,2914
free-programming-books,2902
laravel,2820
discourse,2816
gitlabhq,2756
Projects,2745
android_packages_apps_Settings,2727
django,2700
CodeIgniter,2681
SlidingMenu,2678
docs,2586
jQuery-File-Upload,2471
three.js,2464
ActionBarSherlock,2373
backbone,2318
AFNetworking,2288
octopress,2234
libgdx,2233
brackets,2231
Font-Awesome,2211
Chart.js,2207
git,2185
facebook-php-sdk,2181
jekyll,2153
core,2131
hw3_rottenpotatoes,2124
impress.js,2087
TrinityCore,2081
angular-seed,2060
bitstarter,2044
typo,1967
game-of-life,1967
cocos2d-x,1962
Respond,1903
JSON-js,1881
jquery-cookie,1877
Flat-UI,1866
framework,1848
learnstreet,1781
chosen,1778
zf2,1761
symfony,1748
opencv,1747
flask,1733
normalize.css,1695
spring-framework,1669
android_build,1653
setup,1647
redis,1599
bitcoin,1595
animate.css,1593
Ghost,1575
underscore,1540
platform_manifest,1503
frontend-dev-bookmarks,1497
express,1496
WordPress,1494
Android-Universal-Image-Loader,1476
website,1474
ember.js,1465
docker,1449
platform_frameworks_base,1447
javascript,1408
hw4_rottenpotatoes,1395
select2,1395
chrome-app-samples,1369
jquery-ui,1349
package_control_channel,1334
markup,1330
Android-ViewPagerIndicator,1321
ansible,1321
blog,1316
bootstrap-datepicker,1298
Android-PullToRefresh,1294
xbmc,1292
spree,1279
cakephp,1275
less.js,1265
android-app,1247
