repo_name,num
bootstrap,10464
Spoon-Knife,9131
hw3_rottenpotatoes,6727
dotfiles,5173
THE-GAME,5126
hw4_rottenpotatoes,3764
homebrew,3131
rails,2879
html5-boilerplate,2768
twitter/bootstrap,2431
octocat/Spoon-Knife,2421
node,2239
jquery,2208
oh-my-zsh,2109
android,2071
phonegap-start,2034
django,1989
linux,1911
game-off-2012,1804
backbone,1728
TrinityCore,1724
octopress,1703
textmate,1665
CodeIgniter,1660
impress.js,1636
d3,1618
markup,1541
symfony,1537
gitignore,1501
brackets,1497
android_frameworks_base,1480
zf2,1425
phonegap-plugins,1422
gitlabhq,1393
jQuery-File-Upload,1324
game-of-life,1314
three.js,1296
foundation,1279
chosen,1271
reveal.js,1241
core,1237
typo,1205
jquery-ui,1066
laravel,1036
bartaz/impress.js,1028
jekyll,1004
git,1000
ActionBarSherlock,994
yii,952
todomvc,950
AFNetworking,946
Font-Awesome,937
angular.js,931
jquery-mobile,913
less.js,910
jquery-cookie,886
express,884
meteor,882
BrowserQuest,866
JSON-js,865
facebook-php-sdk,862
diaspora,838
bigbluebutton,828
redis,826
docs,824
devise,824
spree,818
xbmc,809
ember.js,807
CraftBukkit,802
underscore,800
syte,798
WordPress,796
facebook-ios-sdk,793
normalize.css,793
cakephp,788
android_packages_apps_Settings,780
php-src,776
Specs,765
mxcl/homebrew,738
package_control_channel,730
browsercms,728
active_admin,716
Play20,704
socket.io,694
hellogitworld,688
platform_manifest,687
flask,672
RestKit,664
Sick-Beard,654
file-uploader,650
facebook-android-sdk,639
select2,637
WhatsAPI,636
hw2_rottenpotatoes,625
roots,606
tomorrow-theme,605
ShareKit,598
programmer-site,589
grunt,589
